01,02,421 Local Police,421_short,421_legend,421_innRGB,421_outRGB,422 Local Councillor,422_short,422_legend,422_innRGB,422_outRGB,423 Mayor,423_short,423_legend,423_innRGB,423_outRGB,424 Chief or Traditional Leaders,424_short,424_legend,424_innRGB,424_outRGB,425 Local,425_short,425_legend,425_innRGB,425_outRGB,426 Local Country People,426_short,426_legend,426_innRGB,426_outRGB,427 Neighbours,427_short,427_legend,427_innRGB,427_outRGB,428 Local Service Providers,428_short,428_legend,428_innRGB,428_outRGB,429 Religious Leaders,429_short,429_legend,429_innRGB,429_outRGB,430 Other religious leaders,430_short,430_legend,430_innRGB,430_outRGB,431 Business people,431_short,431_legend,431_innRGB,431_outRGB,432 Judges,432_short,432_legend,432_innRGB,432_outRGB,433 Neighbours,433_short,433_legend,433_innRGB,433_outRGB,436 Home community,436_short,436_legend,436_innRGB,436_outRGB,438 Opinions,438_short,438_legend,438_innRGB,438_outRGB,439 Closeness,439_short,439_legend,439_innRGB,439_outRGB,440 Care,440_short,440_legend,440_innRGB,440_outRGB,441 Future,441_short,441_legend,441_innRGB,441_outRGB,442 Support,442_short,442_legend,442_innRGB,442_outRGB,443 Outsider,443_short,443_legend,443_innRGB,443_outRGB
Yes,Accra,181,Accra,"Yes, in Accra (181 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],158,Accra,"Yes, in Accra (158 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],121,Accra,"Yes, in Accra (121 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],207,Accra,"Yes, in Accra (207 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],221,Accra,"Yes, in Accra (221 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],255,Accra,"Yes, in Accra (255 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],224,Accra,"Yes, in Accra (224 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],308,Accra,"Yes, in Accra (308 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],482,Accra,"Yes, in Accra (482 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],190,Accra,"Yes, in Accra (190 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],200,Accra,"Yes, in Accra (200 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],114,Accra,"Yes, in Accra (114 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],339,Accra,"Yes, in Accra (339 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],28,,"Yes, in Accra (28 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],436,Accra,"Yes, in Accra (436 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],421,Accra,"Yes, in Accra (421 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],362,Accra,"Yes, in Accra (362 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],398,Accra,"Yes, in Accra (398 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],427,Accra,"Yes, in Accra (427 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882],175,Accra,"Yes, in Accra (175 responses)",[0.4        0.76078431 0.64705882],[0.4        0.76078431 0.64705882]
Yes,Nairobi,259,Nairobi,"Yes, in Nairobi (259 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],239,Nairobi,"Yes, in Nairobi (239 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],230,Nairobi,"Yes, in Nairobi (230 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],331,Nairobi,"Yes, in Nairobi (331 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],333,Nairobi,"Yes, in Nairobi (333 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],364,Nairobi,"Yes, in Nairobi (364 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],369,Nairobi,"Yes, in Nairobi (369 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],432,Nairobi,"Yes, in Nairobi (432 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],468,Nairobi,"Yes, in Nairobi (468 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],363,Nairobi,"Yes, in Nairobi (363 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],413,Nairobi,"Yes, in Nairobi (413 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],268,Nairobi,"Yes, in Nairobi (268 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],431,Nairobi,"Yes, in Nairobi (431 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],34,Nairobi,"Yes, in Nairobi (34 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],473,Nairobi,"Yes, in Nairobi (473 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],465,Nairobi,"Yes, in Nairobi (465 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],434,Nairobi,"Yes, in Nairobi (434 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],381,Nairobi,"Yes, in Nairobi (381 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],459,Nairobi,"Yes, in Nairobi (459 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882],89,Nairobi,"Yes, in Nairobi (89 responses)",[0.56159036 0.88039216 0.77990029],[0.4        0.76078431 0.64705882]
Yes,Johannesburg,216,Jozi,"Yes, in Johannesburg (216 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],147,Jozi,"Yes, in Johannesburg (147 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],177,Jozi,"Yes, in Johannesburg (177 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],71,Jozi,"Yes, in Johannesburg (71 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],274,Jozi,"Yes, in Johannesburg (274 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],324,Jozi,"Yes, in Johannesburg (324 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],292,Jozi,"Yes, in Johannesburg (292 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],330,Jozi,"Yes, in Johannesburg (330 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],300,Jozi,"Yes, in Johannesburg (300 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],126,Jozi,"Yes, in Johannesburg (126 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],259,Jozi,"Yes, in Johannesburg (259 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],194,Jozi,"Yes, in Johannesburg (194 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],355,Jozi,"Yes, in Johannesburg (355 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],72,Jozi,"Yes, in Johannesburg (72 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],413,Jozi,"Yes, in Johannesburg (413 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],440,Jozi,"Yes, in Johannesburg (440 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],399,Jozi,"Yes, in Johannesburg (399 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],308,Jozi,"Yes, in Johannesburg (308 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],410,Jozi,"Yes, in Johannesburg (410 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882],97,Jozi,"Yes, in Johannesburg (97 responses)",[0.75       1.         0.92119565],[0.4        0.76078431 0.64705882]
Yes & No,Accra,155,Accra,"Yes & No, in Accra (155 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],125,Accra,"Yes & No, in Accra (125 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],113,Accra,"Yes & No, in Accra (113 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],141,Accra,"Yes & No, in Accra (141 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],197,Accra,"Yes & No, in Accra (197 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],209,Accra,"Yes & No, in Accra (209 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],229,Accra,"Yes & No, in Accra (229 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],177,Accra,"Yes & No, in Accra (177 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Accra (0 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],209,Accra,"Yes & No, in Accra (209 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],252,Accra,"Yes & No, in Accra (252 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],157,Accra,"Yes & No, in Accra (157 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Accra (0 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Accra (0 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Accra (0 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Accra (0 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Accra (0 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Accra (0 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Accra (0 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Accra (0 responses)",[0.98823529 0.55294118 0.38431373],[0.98823529 0.55294118 0.38431373]
Yes & No,Nairobi,76,Nairobi,"Yes & No, in Nairobi (76 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],61,Nairobi,"Yes & No, in Nairobi (61 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],55,Nairobi,"Yes & No, in Nairobi (55 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],53,Nairobi,"Yes & No, in Nairobi (53 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],114,Nairobi,"Yes & No, in Nairobi (114 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],105,Nairobi,"Yes & No, in Nairobi (105 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],112,Nairobi,"Yes & No, in Nairobi (112 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],60,Nairobi,"Yes & No, in Nairobi (60 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Nairobi (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],41,Nairobi,"Yes & No, in Nairobi (41 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],56,Nairobi,"Yes & No, in Nairobi (56 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],63,Nairobi,"Yes & No, in Nairobi (63 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Nairobi (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Nairobi (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Nairobi (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Nairobi (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Nairobi (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Nairobi (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Nairobi (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Nairobi (0 responses)",[0.99411765 0.68560765 0.56609477],[0.98823529 0.55294118 0.38431373]
Yes & No,Johannesburg,87,Jozi,"Yes & No, in Johannesburg (87 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],62,Jozi,"Yes & No, in Johannesburg (62 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],52,Jozi,"Yes & No, in Johannesburg (52 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],34,Jozi,"Yes & No, in Johannesburg (34 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],102,Jozi,"Yes & No, in Johannesburg (102 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],94,Jozi,"Yes & No, in Johannesburg (94 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],109,Jozi,"Yes & No, in Johannesburg (109 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],87,Jozi,"Yes & No, in Johannesburg (87 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Johannesburg (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],41,Jozi,"Yes & No, in Johannesburg (41 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],113,Jozi,"Yes & No, in Johannesburg (113 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],84,Jozi,"Yes & No, in Johannesburg (84 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Johannesburg (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Johannesburg (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Johannesburg (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Johannesburg (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Johannesburg (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Johannesburg (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Johannesburg (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373],0,,"Yes & No, in Johannesburg (0 responses)",[1.         0.81980519 0.75      ],[0.98823529 0.55294118 0.38431373]
No,Accra,222,Accra,"No, in Accra (222 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],231,Accra,"No, in Accra (231 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],244,Accra,"No, in Accra (244 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],166,Accra,"No, in Accra (166 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],154,Accra,"No, in Accra (154 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],102,Accra,"No, in Accra (102 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],121,Accra,"No, in Accra (121 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],63,Accra,"No, in Accra (63 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],76,Accra,"No, in Accra (76 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],125,Accra,"No, in Accra (125 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],122,Accra,"No, in Accra (122 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],189,Accra,"No, in Accra (189 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],204,Accra,"No, in Accra (204 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],545,Accra,"No, in Accra (545 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],143,Accra,"No, in Accra (143 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],154,Accra,"No, in Accra (154 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],186,Accra,"No, in Accra (186 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],142,Accra,"No, in Accra (142 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],129,Accra,"No, in Accra (129 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843],395,Accra,"No, in Accra (395 responses)",[0.55294118 0.62745098 0.79607843],[0.55294118 0.62745098 0.79607843]
No,Nairobi,193,Nairobi,"No, in Nairobi (193 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],208,Nairobi,"No, in Nairobi (208 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],206,Nairobi,"No, in Nairobi (206 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],134,Nairobi,"No, in Nairobi (134 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],80,Nairobi,"No, in Nairobi (80 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],50,Nairobi,"No, in Nairobi (50 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],50,Nairobi,"No, in Nairobi (50 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],35,Nairobi,"No, in Nairobi (35 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],42,Nairobi,"No, in Nairobi (42 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],89,Nairobi,"No, in Nairobi (89 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],54,Nairobi,"No, in Nairobi (54 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],144,Nairobi,"No, in Nairobi (144 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],66,Nairobi,"No, in Nairobi (66 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],502,Nairobi,"No, in Nairobi (502 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],65,Nairobi,"No, in Nairobi (65 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],67,Nairobi,"No, in Nairobi (67 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],68,Nairobi,"No, in Nairobi (68 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],95,Nairobi,"No, in Nairobi (95 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],55,Nairobi,"No, in Nairobi (55 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843],442,Nairobi,"No, in Nairobi (442 responses)",[0.64864532 0.72507248 0.89803922],[0.55294118 0.62745098 0.79607843]
No,Johannesburg,202,Jozi,"No, in Johannesburg (202 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],229,Jozi,"No, in Johannesburg (229 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],192,Jozi,"No, in Johannesburg (192 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],195,Jozi,"No, in Johannesburg (195 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],126,Jozi,"No, in Johannesburg (126 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],83,Jozi,"No, in Johannesburg (83 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],106,Jozi,"No, in Johannesburg (106 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],76,Jozi,"No, in Johannesburg (76 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],159,Jozi,"No, in Johannesburg (159 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],285,Jozi,"No, in Johannesburg (285 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],127,Jozi,"No, in Johannesburg (127 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],163,Jozi,"No, in Johannesburg (163 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],130,Jozi,"No, in Johannesburg (130 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],433,Jozi,"No, in Johannesburg (433 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],101,Jozi,"No, in Johannesburg (101 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],68,Jozi,"No, in Johannesburg (68 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],89,Jozi,"No, in Johannesburg (89 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],186,Jozi,"No, in Johannesburg (186 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],85,Jozi,"No, in Johannesburg (85 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843],413,Jozi,"No, in Johannesburg (413 responses)",[0.75      0.8266129 1.       ],[0.55294118 0.62745098 0.79607843]
DK/RA,Accra,23,,"DK/RA, in Accra (23 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],67,Accra,"DK/RA, in Accra (67 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],103,Accra,"DK/RA, in Accra (103 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],67,Accra,"DK/RA, in Accra (67 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],9,,"DK/RA, in Accra (9 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],15,,"DK/RA, in Accra (15 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],7,,"DK/RA, in Accra (7 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],33,Accra,"DK/RA, in Accra (33 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],23,,"DK/RA, in Accra (23 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],57,Accra,"DK/RA, in Accra (57 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],7,,"DK/RA, in Accra (7 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],121,Accra,"DK/RA, in Accra (121 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],38,Accra,"DK/RA, in Accra (38 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],8,,"DK/RA, in Accra (8 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],2,,"DK/RA, in Accra (2 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],6,,"DK/RA, in Accra (6 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],33,Accra,"DK/RA, in Accra (33 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],41,Accra,"DK/RA, in Accra (41 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],25,,"DK/RA, in Accra (25 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588],11,,"DK/RA, in Accra (11 responses)",[0.90588235 0.54117647 0.76470588],[0.90588235 0.54117647 0.76470588]
