L1_orig,L2_orig,L3_orig,tuple_orig,L1_edit,L1_chg,L2_edit,L2_chg,L3_edit,L3_chg
Bethany Junior School,-1,-1,"('Bethany Junior School', '-1', '-1')",Kayunga,TRUE,Kayunga,TRUE,Uganda,TRUE
Bimbila Lorry Station~ Old Fadama,-1,-1,"('Bimbila Lorry Station~ Old Fadama', '-1', '-1')",Old Fadama,TRUE,Accra,TRUE,Ghana,TRUE
Born  Here,-1,-1,"('Born  Here', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Born Here,-1,-1,"('Born Here', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Born In Neighbourhood,-1,-1,"('Born In Neighbourhood', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Born In The City,-1,-1,"('Born In The City', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Born In This City,-1,-1,"('Born In This City', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Braamfontein,-1,-1,"('Braamfontein', '-1', '-1')",Braamfontein,FALSE,Johannesburg,TRUE,South Africa,TRUE
Bramfontein,-1,-1,"('Bramfontein', '-1', '-1')",Braamfontein,TRUE,Johannesburg,TRUE,South Africa,TRUE
Brazil~ Old Fadama,-1,-1,"('Brazil~ Old Fadama', '-1', '-1')",Old Fadama,TRUE,Accra,TRUE,Ghana,TRUE
Brightshine Educational Centre,-1,-1,"('Brightshine Educational Centre', '-1', '-1')",Kayole,TRUE,Nairobi,TRUE,Kenya,TRUE
Bukom,-1,-1,"('Bukom', '-1', '-1')",Bukom,FALSE,-1,FALSE,-1,FALSE
Casual Jobs,-1,-1,"('Casual Jobs', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Centurion,-1,-1,"('Centurion', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Ciders Park,-1,-1,"('Ciders Park', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Congo_Kawangware,-1,-1,"('Congo_Kawangware', '-1', '-1')",Kawangware Congo,TRUE,Nairobi,TRUE,Kenya,TRUE
Congo~ Kawangware,-1,-1,"('Congo~ Kawangware', '-1', '-1')",Kawangware Congo,TRUE,Nairobi,TRUE,Kenya,TRUE
Currently Studying,-1,-1,"('Currently Studying', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Deco Park(Northiding),-1,-1,"('Deco Park(Northiding)', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Diepsloot,-1,-1,"('Diepsloot', '-1', '-1')",Diepsloot,FALSE,-1,FALSE,-1,FALSE
-19,-1,-1,"('Dk', '-1', '-1')",-19,FALSE,-1,FALSE,-1,FALSE
Dry Cleaner,-1,-1,"('Dry Cleaner', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Dzorwulu,-1,-1,"('Dzorwulu', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Ellis Park,-1,-1,"('Ellis Park', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Four-Ways,-1,-1,"('Four-Ways', '-1', '-1')", Fourways,TRUE,-1,FALSE,-1,FALSE
Fourways,-1,-1,"('Fourways', '-1', '-1')", Fourways,TRUE,-1,FALSE,-1,FALSE
From Home,-1,-1,"('From Home', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
From Sandton,-1,-1,"('From Sandton', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Ga Mantse Street,-1,-1,"('Ga Mantse Street', '-1', '-1')",Ga Mantse Agbonaa,TRUE,Jamestown,TRUE,Ghana,TRUE
Ga Mantse Stress,-1,-1,"('Ga Mantse Stress', '-1', '-1')",Ga Mantse Agbonaa,TRUE,Jamestown,TRUE,Ghana,TRUE
Gardening,-1,-1,"('Gardening', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Germiston At Hyperrama,-1,-1,"('Germiston At Hyperrama', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Greenside,-1,-1,"('Greenside', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Has Always Been In The City,-1,-1,"('Has Always Been In The City', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Have Always Been In The City,-1,-1,"('Have Always Been In The City', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Hawk In The City,-1,-1,"('Hawk In The City', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Here At Katlehong,-1,-1,"('Here At Katlehong', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Here In Katlehong At Alrode In The City,-1,-1,"('Here In Katlehong At Alrode In The City', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Hillbrow,-1,-1,"('Hillbrow', '-1', '-1')",Hillbrow,FALSE,-1,FALSE,-1,FALSE
I Don'T  Work,-1,-1,"(""I Don'T  Work"", '-1', '-1')",-13,TRUE,-1,FALSE,-1,FALSE
I Have Always Lived Here,-1,-1,"('I Have Always Lived Here', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
I Was A Student,-1,-1,"('I Was A Student', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
I Was Born Here,-1,-1,"('I Was Born Here', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
I Was Not Working,-1,-1,"('I Was Not Working', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
I Was Unemployed,-1,-1,"('I Was Unemployed', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
I'M Not Working,-1,-1,"(""I'M Not Working"", '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
I'M Unemployed,-1,-1,"(""I'M Unemployed"", '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Im Unempolyed,-1,-1,"('Im Unempolyed', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Industrial Area,-1,-1,"('Industrial Area', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
James Town,-1,-1,"('James Town', '-1', '-1')",Jamestown,TRUE,-1,FALSE,-1,FALSE
Jamestown (Harbour Close),-1,-1,"('Jamestown (Harbour Close)', '-1', '-1')",Jamestown,TRUE,-1,FALSE,-1,FALSE
Jamestown Akpangadjin,-1,-1,"('Jamestown Akpangadjin', '-1', '-1')",Jamestown,TRUE,-1,FALSE,-1,FALSE
Jet Park,-1,-1,"('Jet Park', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Johannesburg,-1,-1,"('Johannesburg', '-1', '-1')",Johannesburg,FALSE,-1,FALSE,-1,FALSE
Johannesburg And Katlehong,-1,-1,"('Johannesburg And Katlehong', '-1', '-1')",Katlehong,TRUE,Johanesburg,TRUE,South Africa,TRUE
Johannesburg Cbd,-1,-1,"('Johannesburg Cbd', '-1', '-1')",Johannesburg,TRUE,Johannesburg,TRUE,South Africa,TRUE
Johannesburg/Pretoria,-1,-1,"('Johannesburg/Pretoria', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Johannesburg~To Ekurhuleni,-1,-1,"('Johannesburg~To Ekurhuleni', '-1', '-1')",Johannesburg,TRUE,Johannesburg,TRUE,South Africa,TRUE
Just Within Kawangware,-1,-1,"('Just Within Kawangware', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Karen,-1,-1,"('Karen', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Karen ~Rongai,-1,-1,"('Karen ~Rongai', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Kasese,-1,-1,"('Kasese', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Katlehong,-1,-1,"('Katlehong', '-1', '-1')",Katlehong,FALSE,-1,FALSE,-1,FALSE
Katlehong At Alrode,-1,-1,"('Katlehong At Alrode', '-1', '-1')",Katlehong,TRUE,-1,FALSE,-1,FALSE
Katlehong~In Mavimbela Section,-1,-1,"('Katlehong~In Mavimbela Section', '-1', '-1')",Katlehong,TRUE,-1,FALSE,-1,FALSE
Kawangware,-1,-1,"('Kawangware', '-1', '-1')",Kawangware,FALSE,-1,FALSE,-1,FALSE
Kawangware Centre,-1,-1,"('Kawangware Centre', '-1', '-1')",Kawangware,TRUE,-1,FALSE,-1,FALSE
Kawangware Congo,-1,-1,"('Kawangware Congo', '-1', '-1')",Kawangware,TRUE,-1,FALSE,-1,FALSE
Kawangware Muslim,-1,-1,"('Kawangware Muslim', '-1', '-1')",Kawangware,TRUE,-1,FALSE,-1,FALSE
Kayole,-1,-1,"('Kayole', '-1', '-1')",Kayole,FALSE,-1,FALSE,-1,FALSE
Kayole 1,-1,-1,"('Kayole 1', '-1', '-1')",Kayole,TRUE,-1,FALSE,-1,FALSE
Kayole D.O,-1,-1,"('Kayole D.O', '-1', '-1')",Kayole,TRUE,-1,FALSE,-1,FALSE
Kayole Hospital.,-1,-1,"('Kayole Hospital.', '-1', '-1')",Kayole,TRUE,-1,FALSE,-1,FALSE
Kayole~Umoja,-1,-1,"('Kayole~Umoja', '-1', '-1')",Kayole,TRUE,-1,FALSE,-1,FALSE
Kn,-1,-1,"('Kn', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Korleana Near Bukum,-1,-1,"('Korleana Near Bukum', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Korleworko,-1,-1,"('Korleworko', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Kpadamopuni@Gmail.Com,-1,-1,"('Kpadamopuni@Gmail.Com', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Kumasi House,-1,-1,"('Kumasi House', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Kware,-1,-1,"('Kware', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Kware Ongata Rongai,-1,-1,"('Kware Ongata Rongai', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Kware~ Rongai.,-1,-1,"('Kware~ Rongai.', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Lante Gyan We,-1,-1,"('Lante Gyan We', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Legon,-1,-1,"('Legon', '-1', '-1')",Legon,FALSE,-1,FALSE,-1,FALSE
Locally Born,-1,-1,"('Locally Born', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
London Market,-1,-1,"('London Market', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Madina,-1,-1,"('Madina', '-1', '-1')",Madina,FALSE,Accra,TRUE,Ghana,TRUE
Madina  La Nkwantanang,-1,-1,"('Madina  La Nkwantanang', '-1', '-1')",Madina,TRUE,Accra,TRUE,Ghana,TRUE
Madina  Market,-1,-1,"('Madina  Market', '-1', '-1')",Madina,TRUE,Accra,TRUE,Ghana,TRUE
Madina  New Road,-1,-1,"('Madina  New Road', '-1', '-1')",Madina,TRUE,Accra,TRUE,Ghana,TRUE
Madina  Zongo  Junction,-1,-1,"('Madina  Zongo  Junction', '-1', '-1')",Madina,TRUE,Accra,TRUE,Ghana,TRUE
Madina Domeabra,-1,-1,"('Madina Domeabra', '-1', '-1')",Madina,TRUE,Accra,TRUE,Ghana,TRUE
Madina Estate,-1,-1,"('Madina Estate', '-1', '-1')",Madina,TRUE,Accra,TRUE,Ghana,TRUE
Madina Firestone,-1,-1,"('Madina Firestone', '-1', '-1')",Madina,TRUE,Accra,TRUE,Ghana,TRUE
Madina La Nkwantanang,-1,-1,"('Madina La Nkwantanang', '-1', '-1')",Madina,TRUE,Accra,TRUE,Ghana,TRUE
Madina New Road,-1,-1,"('Madina New Road', '-1', '-1')",Madina,TRUE,Accra,TRUE,Ghana,TRUE
Madina Ocansey Junction,-1,-1,"('Madina Ocansey Junction', '-1', '-1')",Madina,TRUE,Accra,TRUE,Ghana,TRUE
Madina Rawlings Circle,-1,-1,"('Madina Rawlings Circle', '-1', '-1')",Madina,TRUE,Accra,TRUE,Ghana,TRUE
Madina Ritz Junction,-1,-1,"('Madina Ritz Junction', '-1', '-1')",Madina,TRUE,Accra,TRUE,Ghana,TRUE
Madina Station,-1,-1,"('Madina Station', '-1', '-1')",Madina,TRUE,Accra,TRUE,Ghana,TRUE
Madina Zongo Junction,-1,-1,"('Madina Zongo Junction', '-1', '-1')",Madina,TRUE,Accra,TRUE,Ghana,TRUE
Maraisburg,-1,-1,"('Maraisburg', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Masimba,-1,-1,"('Masimba', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Medina,-1,-1,"('Medina', '-1', '-1')",Madina,TRUE,-1,FALSE,-1,FALSE
Medina Ritz Junction,-1,-1,"('Medina Ritz Junction', '-1', '-1')",Madina,TRUE,-1,FALSE,-1,FALSE
Ministries~ Central Business District,-1,-1,"('Ministries~ Central Business District', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Mngandi (Katlehong),-1,-1,"('Mngandi (Katlehong)', '-1', '-1')",Katlehong,TRUE,-1,FALSE,-1,FALSE
Mudor Near Jamestown,-1,-1,"('Mudor Near Jamestown', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Mugendi,-1,-1,"('Mugendi', '-1', '-1')",Mugendi,FALSE,-1,FALSE,-1,FALSE
Mugendi (Kayole),-1,-1,"('Mugendi (Kayole)', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Muslim,-1,-1,"('Muslim', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
N/A (Pensioner),-1,-1,"('N/A (Pensioner)', '-1', '-1')",-11,TRUE,-1,FALSE,-1,FALSE
N/A Since I Was Born Here,-1,-1,"('N/A Since I Was Born Here', '-1', '-1')",-11,TRUE,-1,FALSE,-1,FALSE
Na,-1,-1,"('Na', '-1', '-1')",-11,TRUE,-1,FALSE,-1,FALSE
Na(Born Here),-1,-1,"('Na(Born Here)', '-1', '-1')",-11,TRUE,-1,FALSE,-1,FALSE
Nairobi City Center,-1,-1,"('Nairobi City Center', '-1', '-1')",Nairobi,TRUE,Nairobi,TRUE,Kenya,TRUE
Nairobi Women'S,-1,-1,"(""Nairobi Women'S"", '-1', '-1')",Nairobi,TRUE,Nairobi,TRUE,Kenya,TRUE
,-1,-1,"('nan', '-1', '-1')",-11,TRUE,-1,FALSE,-1,FALSE
Natalspruit,-1,-1,"('Natalspruit', '-1', '-1')",Natalspruit,FALSE,-1,FALSE,-1,FALSE
Newtown,-1,-1,"('Newtown', '-1', '-1')",Newtown,FALSE,-1,FALSE,-1,FALSE
Nima Market,-1,-1,"('Nima Market', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
No,-1,-1,"('No', '-1', '-1')",-11,TRUE,-1,FALSE,-1,FALSE
No Employment,-1,-1,"('No Employment', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
No Fixed Place,-1,-1,"('No Fixed Place', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
No Set Location,-1,-1,"('No Set Location', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
No Set Location Y,-1,-1,"('No Set Location Y', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
No Set Location~ Since Not Working,-1,-1,"('No Set Location~ Since Not Working', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
No Specific Location Because I Take Contracts And So I Don'T Have Definite Place I Work Every Day,-1,-1,"(""No Specific Location Because I Take Contracts And So I Don'T Have Definite Place I Work Every Day"", '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
None,-1,-1,"('None', '-1', '-1')",-11,TRUE,-1,FALSE,-1,FALSE
None Because He Is Unemployed,-1,-1,"('None Because He Is Unemployed', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Northriding,-1,-1,"('Northriding', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Not Applicable,-1,-1,"('Not Applicable', '-1', '-1')",-11,TRUE,-1,FALSE,-1,FALSE
Not Applicable~ Locally Born,-1,-1,"('Not Applicable~ Locally Born', '-1', '-1')",-11,TRUE,-1,FALSE,-1,FALSE
Not Employed,-1,-1,"('Not Employed', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Not Working,-1,-1,"('Not Working', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Not Working ( Pensioner,-1,-1,"('Not Working ( Pensioner', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Okorstuenshi In Jamestown,-1,-1,"('Okorstuenshi In Jamestown', '-1', '-1')",Jamestown,TRUE,-1,FALSE,-1,FALSE
Okortsuenshi In Jamestown,-1,-1,"('Okortsuenshi In Jamestown', '-1', '-1')",Jamestown,TRUE,-1,FALSE,-1,FALSE
Old Fadama,-1,-1,"('Old Fadama', '-1', '-1')",Old Fadama,FALSE,-1,FALSE,-1,FALSE
Old Fadama Kokonte Junction,-1,-1,"('Old Fadama Kokonte Junction', '-1', '-1')",Old Fadama,TRUE,-1,FALSE,-1,FALSE
Old Fadama R,-1,-1,"('Old Fadama R', '-1', '-1')",Old Fadama,TRUE,-1,FALSE,-1,FALSE
One Way,-1,-1,"('One Way', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Ongata Rongai,-1,-1,"('Ongata Rongai', '-1', '-1')",Ongata Rongai,FALSE,-1,FALSE,-1,FALSE
Ongata Rongai Gataka,-1,-1,"('Ongata Rongai Gataka', '-1', '-1')",Ongata Rongai,TRUE,-1,FALSE,-1,FALSE
Ongata Rongai Kware,-1,-1,"('Ongata Rongai Kware', '-1', '-1')",Ongata Rongai,TRUE,-1,FALSE,-1,FALSE
Ongata Rongai~ Kware,-1,-1,"('Ongata Rongai~ Kware', '-1', '-1')",Ongata Rongai,TRUE,-1,FALSE,-1,FALSE
Osu,-1,-1,"('Osu', '-1', '-1')",Osu,FALSE,-1,FALSE,-1,FALSE
Otublohum,-1,-1,"('Otublohum', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Outside The Neighbourhood,-1,-1,"('Outside The Neighbourhood', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Owned My Own Business,-1,-1,"('Owned My Own Business', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Patanisho,-1,-1,"('Patanisho', '-1', '-1')",Patanisho,FALSE,-1,FALSE,-1,FALSE
Pokuase,-1,-1,"('Pokuase', '-1', '-1')",Pokuase,FALSE,-1,FALSE,-1,FALSE
Ra,-1,-1,"('Ra', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Ramokunupi Section,-1,-1,"('Ramokunupi Section', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Randburg,-1,-1,"('Randburg', '-1', '-1')",Randburg,FALSE,-1,FALSE,-1,FALSE
Riruta,-1,-1,"('Riruta', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Rize,-1,-1,"('Rize', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Rongai Kware,-1,-1,"('Rongai Kware', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Rosebank,-1,-1,"('Rosebank', '-1', '-1')",Rosebank,FALSE,-1,FALSE,-1,FALSE
Sakora Number 5,-1,-1,"('Sakora Number 5', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Sakumono,-1,-1,"('Sakumono', '-1', '-1')",Sakumono,FALSE,-1,FALSE,-1,FALSE
Sandton,-1,-1,"('Sandton', '-1', '-1')",Sandton,FALSE,-1,FALSE,-1,FALSE
Satelite,-1,-1,"('Satelite', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Scholar,-1,-1,"('Scholar', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Schooling,-1,-1,"('Schooling', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Security Guard,-1,-1,"('Security Guard', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Sell Vegetables,-1,-1,"('Sell Vegetables', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Sempe,-1,-1,"('Sempe', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Settilite,-1,-1,"('Settilite', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Shop Attendant,-1,-1,"('Shop Attendant', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Social Welfare Area,-1,-1,"('Social Welfare Area', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Springs,-1,-1,"('Springs', '-1', '-1')",Springs,FALSE,-1,FALSE,-1,FALSE
Sraha,-1,-1,"('Sraha', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Standton Refused To Give Me The Specific Location.,-1,-1,"('Standton Refused To Give Me The Specific Location.', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Still In School,-1,-1,"('Still In School', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Still In School Around In Diepsloot,-1,-1,"('Still In School Around In Diepsloot', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Student,-1,-1,"('Student', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Student At Bramfontein,-1,-1,"('Student At Bramfontein', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Studying,-1,-1,"('Studying', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Tema Station,-1,-1,"('Tema Station', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
The Scrap Yard,-1,-1,"('The Scrap Yard', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Thokoza,-1,-1,"('Thokoza', '-1', '-1')",Thokoza,FALSE,-1,FALSE,-1,FALSE
Timber Market Area~ Old Fadama,-1,-1,"('Timber Market Area~ Old Fadama', '-1', '-1')",Old Fadama ,TRUE,-1,FALSE,-1,FALSE
Tuskys Area,-1,-1,"('Tuskys Area', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Unemployed,-1,-1,"('Unemployed', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Unemployed By Still Staying In Diepsloot,-1,-1,"('Unemployed By Still Staying In Diepsloot', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Unemployed Staying At Diepsloot,-1,-1,"('Unemployed Staying At Diepsloot', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Unemployed~ School Leaver,-1,-1,"('Unemployed~ School Leaver', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
University Student,-1,-1,"('University Student', '-1', '-1')",-15,TRUE,-1,FALSE,-1,FALSE
Upper Hill,-1,-1,"('Upper Hill', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Upper Hill.,-1,-1,"('Upper Hill.', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Usher Fort,-1,-1,"('Usher Fort', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Voslosrus,-1,-1,"('Voslosrus', '-1', '-1')",Vosloorus,TRUE,-1,FALSE,-1,FALSE
Voslosrus (Bosburg),-1,-1,"('Voslosrus (Bosburg)', '-1', '-1')",Vosloorus,TRUE,-1,FALSE,-1,FALSE
Wakapa Road,-1,-1,"('Wakapa Road', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Was Born Here,-1,-1,"('Was Born Here', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Was Born Here~ Have Been Here All My Life.,-1,-1,"('Was Born Here~ Have Been Here All My Life.', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Was Not Working,-1,-1,"('Was Not Working', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Was Not Working Then,-1,-1,"('Was Not Working Then', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Was Underage,-1,-1,"('Was Underage', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Westlands,-1,-1,"('Westlands', '-1', '-1')",Westlands,FALSE,-1,FALSE,-1,FALSE
Woodmead,-1,-1,"('Woodmead', '-1', '-1')",Woodmead,FALSE,-1,FALSE,-1,FALSE
Work From Home,-1,-1,"('Work From Home', '-1', '-1')",-10,TRUE,-1,FALSE,-1,FALSE
Yeoville,-1,-1,"('Yeoville', '-1', '-1')",Yeoville,FALSE,-1,FALSE,-1,FALSE
Zongo Junction,-1,-1,"('Zongo Junction', '-1', '-1')",-18,TRUE,-1,FALSE,-1,FALSE
Jamestown,Ghana,1,"('Jamestown', 'Ghana', '1')",James Town,TRUE,Accra,TRUE,Ghana,TRUE
Riverside,Riverside,Fourways,"('Riverside', 'Riverside', 'Fourways')",Riverside,FALSE,Riverside,FALSE,South Africa,TRUE
Adenta,Oyibi,Accra,"('Adenta', 'Oyibi', 'Accra')",Adenta,FALSE,Oyibi,FALSE,Ghana,TRUE
Ashabiena,Accra,Accra,"('Ashabiena', 'Accra', 'Accra')",-19,TRUE,Accra,FALSE,Ghana,TRUE
