336 How Have You Changed,count
-1,1361
-3,8
Being  Versatile ^,2
By working hard^,2
Learn the language ^,2
keeping Time~ being punctual ^,1
Doing casual work the initial times I arrived in Old Fadama ^,1
I learnt another language^,1
Hustling^,1
Improving social contact^~Hustling^,1
name calling~so you have to adjust and speak other languages^,1
Doing my own wok to survive ^,1
I spend more in the city^~I have less friends ^~I got out less^,1
I had to change my lifestyle because most of the things are slow here^,1
Became a street boy^,1
better at budgeting and managing income^,1
sometimes I have to do crime for me to survive^,1
opened a business^,1
i got separated from my wife~ i couldn't maintain her ^,1
Because I came here because of marriage my husband decides what I do or not do. ^~I have children now so all my concentration and time is dedicated to them^,1
become versatile and can do vatious businesses^,1
change of work from house maid to working full time^,1
working more times than before^,1
have learnt alot and gained skills. become more social^,1
I learnt being independent. ^,1
I have had to learn speaking Swahili to be able to communicate with my neighbours and friends. ^,1
from being a hairdresser to waitress^,1
Cutting on expenses ^,1
Had switch from schooling to learn a trade in other to survive^,1
"by creating my own job""thinking out of the box""you become too comfortable^",1
I spend more here...life is expensive here^~I have less friends ^~I go out less^,1
After learning a trade in tailoring~ I had nobody to help me start so I had to venture into the sale of fruits^,1
I had to learn how people of South Africa live and how learn the different cultures^,1
I have to adjust to new language ad adjust my lifestyle^,1
I had to adapt to the lifestyle^,1
Have come to understand urban life and its many expenses^,1
able to fend and can do diverse jobs^,1
became financially frugal ^,1
i can do business in kenya^,1
Learnt how to save more money^,1
I had to learn how to do other jobs^~I learnt how to fend for myself^,1
I'm more patient with people because I'm not in my home town^~I don't make friends because im here to make money ^,1
I have stopped over spending ^,1
Accept my husband decision to settle down here^,1
I have lost my moral values^,1
I had to forgo my moral values^,1
Become more friendly due to type of work~ Network marketing^,1
make myself more attractive and young to get more customers ^,1
I have to manage with this informal economy^,1
Be very friendly ^,1
To work and sponsor my education ^,1
working  extra hard since am in a foreign land.^,1
Working harder ^,1
a Work hard.^,1
Had to learn Twi to be able to sustain my business when I was working^,1
selling clothes but not anymore affected by covid^,1
have become more beggary and cannot fend for myself^,1
I have had to learn speaking Swahili in order to communicate with my neighbours and friends in Rongai^,1
have leaent to do business and manage businesses^,1
I have been morally corrupt^,1
I have stopped going out because life in Ghana is expensive ^,1
Because I didn't go to formal school I had learn a trade to be able to survive but if I had gone to school perhaps I would not be a mechanic^,1
To be wise ^,1
Changed my temperament and character.  I have become more patient and cool^,1
I had to learn how to trade since I have not gotten the opportunity yet to pursue my professional dream^,1
Be open to new ideas^,1
Being committed to hardwork to make money ^,1
Drive commercial vehicles to earn money to survive^,1
Reduced daily expenditure ^,1
Had to switch from teaching to manage my own business^,1
Doing hard work ^,1
Accepting to do casual work ^,1
know the languages and life style of the community^,1
adapting to the lifestyle of this area^,1
Make her business.^,1
Because now I'm getting better salary^,1
Had to adapt to ways of living in South Africa.^,1
at some times you need to do things for a plate of food^,1
staying away from criminal Activities^,1
still studying and don't forgive easy to get what he want in his life.^,1
She says her working as a casual employer is not easy.^,1
I stopped drinking alcohol^,1
Do different work aside what i learn in my community of origin ^,1
Had to venture into running my own mobile money business while waiting for school^,1
had to learn to be independent^,1
He has was a mechanic before arriving here now he is a taxi driver^,1
Learn a different trade in the city here^,1
I'm unemployed but I can manage to pay rent and do other stuff as well^,1
the lifestyle between here and my original place are different^,1
The are no jobs in the original country so this side employment is better.^,1
had to adapt to learning new languages and ways of living^,1
had to learn things fast^,1
I had to change my ways of doing things and my behavior^,1
Working as domestic was not her dreams.^,1
I had to get used to the of life of South Africans.^,1
knowing different languages^,1
His daughter since she was born he had to stop school and look for employment^,1
she had to leave ladysmith with her mother to study this side.^,1
my ways of living and doing things are not the same as I was back home~you have to fit in ^,1
I must be employed^,1
street wise and have connections^,1
back then I struggled but since I'm based in Berea I can manage.^,1
Since the pandemic his boss told him that he will come every two months .^,1
you have to adapt and adopt new ways of living^,1
I started dating men here because I didn't have a  good job ^,1
from working as an agricultural worker to been a hawker or taking people photos (Camera ma)^,1
I need to surround my Driven people who are ambitious and not toxic^,1
Because of COVID I had to come to Ghana and join my brother since our school was closed^,1
I had to venture into electronic repairs^,1
I have had to work harder^~And save more to take care of my basic needs in the city^,1
Stopped following friends ^~I take my work more serious now^~And I save more now^,1
Had learn how to operate road construction machinery in other to get job^,1
I have become more tolerant ^~I accept people the way they are ^,1
I have had to live without my wives and children here^,1
