418 Motivation To Change  ,count
-1,1371
NA^,31
no religion^,21
I don't go to church^,10
never changed^,5
na^,3
its the nearest ^,3
-3,2
Spiritual Uplifting ^,2
My nephew convinced me to change^,1
Change of neighbourhood ^,1
proximity ^,1
I had interest in going to church^,1
didn't understand how they do things^,1
I married a Muslim so I stopped going to church and I don't do the Islamic worship too.^,1
to join spouse church^,1
Distance reason^,1
she never gone to church ever since it was her.^,1
I just decided not to go anymore^,1
I have always been a catholic not planning to change^,1
Joined the husband's church ^,1
When my husband passed on~ I went back^,1
Distance to old church^,1
Because I felt it was a good church for me^,1
The former  church doesn't  have a branch in Ghana ^,1
Was motivated by problems a friend^,1
Separation from previous partner^,1
no changes ^,1
to join my spouse church ^,1
My experience and salvation ^,1
it was near ^,1
My husband is a Muslim therefore I need to join after marriage ^,1
Just decided ^,1
Could not find previous church in neighbourhood ^,1
Changed residence ^,1
Because  i changed  Country ^,1
easy to access ^,1
distance  is close  to my resident^,1
I changed country ^,1
next to my residence ^,1
I was convinced by a friend^,1
Change of nationality^,1
Christians don't do what they preach ^~Christianity is a foreign religion ^,1
impossible to attend church on Saturday due to work^,1
near my residence ^,1
I just left with no reason^,1
friends^,1
Husband ^,1
He always pray for himself^,1
it's a charsmatic church~ enjoyable^,1
still looking ^,1
proximity to where i stay ^,1
I followed my boss^,1
Accepting Jesus as Lord and personal saviour ^,1
she never went to church^,1
It was church nearer to me^,1
always belonged there^,1
l am always busy^,1
the old church I didn't understand it's it's not fun as this one I'm in now^,1
l understand their policies much better than the previous church^,1
it was far from where I stay^,1
always belonged to zion^,1
always belonged to the church since I was young^,1
just decided to follow my partner to church^,1
He doesn't like church.^,1
there are too many scandals happening at church^,1
99^,1
I'm old now I was following my mom to church so it no longer excites me^,1
I am still taking a break from church^,1
always been Muslim^,1
never went to church^,1
im a believer in God~and the rhema church was closer to where we stayed^,1
church have same principles^,1
always been in this church^,1
Can't find a church I like in Johannesburg^,1
I did not get any help from the church^,1
not a religious person^,1
Got married and had to change churchs^,1
not religious^,1
I don't change^,1
she has never gone to church^,1
She said she needed connect to the Lord and that was the church she liked this side in Diepsloot^,1
The was no branch for Pholoso~so I chose Apostolic church^,1
spiritual Awakening^,1
I did not understand the church^,1
I changed when I was in my teen years~ it was the church I liked^,1
because the church relocated ^,1
I don't attend church^,1
Change of mind ^,1
Personal decision and choice^,1
Change of environment and follow up from my current church members^,1
I followed friends ^,1
I had an argument with some of the leaders^,1
My aunty I stayed with in Kasoa was a Muslim. Everyone in the house was a Muslim so I also became one.^,1
I was involved in an accident and I thought I needed God's touch because He had protected me.^,1
I use to do a lot of crime so I wanted to change^,1
never changed it wish my home church^,1
I felt bored by going to church^,1
Relocation issue^,1
respondent doesn't have a religion^,1
It is closer to where I'm currently Living^,1
