,ID,ID_ordered,location,dist,azimuth,lat,lon,location_type,max_dist_moves,grouping,location_l,location_near,location_country,city_8,neighborhood_9,orig_country_103,gender_4,employment_status_303,number_moves_200,work_kind_307,migrant_status_3,ethnic_group_106,mother_tongue_115,refugee_214,send_money_310,financial_support_320,retireOrigindist,retireOriginaz,geometry,lat_d,lon_d,in_thm,move_count,In_No_Answer,In_Education,In_Housing,In_Kin,In_Restart,In_Safety,In_Work,location_out,geometry_out,out_thm,move_count_out,Out_No_Answer,Out_Education,Out_Housing,Out_Kin,Out_Remain,Out_Restart,Out_Safety,Out_Work
0,276785,276785.0,"('Kisumu', 'Kisumu', 'Kenya')",245.8051419309156,2.6882632231563743,34.7541761,-0.1029108999999999,100,291.1411954702797,moves200,Kisumu,Kisumu,Kenya,Nairobi,Kawangware,Kenya,Male,-3,2,-3,Yes,Luo,Dhluo,No,-3,-3,,,POINT (34.75417609984714 -0.1029109001178767),-0.1029108999999999,34.7541761,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"('Kilgoris', 'Narok', 'Kenya')",POINT (34.8800100004612 -1.008390999944652),Safety,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,276785,276785.01,"('Manyatta', 'Kisumu', 'Kenya')",291.1411954702797,2.607972821342886,34.4813935,0.3333085999999999,202,291.1411954702797,moves200,Manyatta,Kisumu,Kenya,Nairobi,Kawangware,Kenya,Male,-3,2,-3,Yes,Luo,Dhluo,No,-3,-3,,,POINT (34.48139350030982 0.3333086002117511),0.3333085999999999,34.4813935,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"('Nyamasaria', 'Kisumu', 'Kenya')",POINT (34.78715220051379 -0.1167143001247268),Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,276785,276785.02,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,291.1411954702797,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,-3,2,-3,Yes,Luo,Dhluo,No,-3,-3,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
3,276785,276785.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,291.1411954702797,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,-3,2,-3,Yes,Luo,Dhluo,No,-3,-3,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
7,276802,276802.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,234.34832489068643,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Doing casual jobs,3,-3,Yes,Luo,Dholuo,No,Yes,No,0.0,0.0,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
8,276814,276814.0,"('Kisumu', 'Kisumu', 'Kenya')",261.96541434424176,2.7228677043580705,34.7541761,-0.1029108999999999,100,261.96541434424176,moves200,Kisumu,Kisumu,Kenya,Nairobi,Kayole,Kenya,Male,Doing casual jobs,3,-3,Yes,Luo,Luo,No,-3,-3,,,POINT (34.75417609984714 -0.1029109001178767),-0.1029108999999999,34.7541761,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"('Kilgoris', 'Narok', 'Kenya')",POINT (34.8800100004612 -1.008390999944652),Safety,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,276814,276814.01,"('London', 'Nakuru', 'Kenya')",15.831518466283947,-1.150040665966206,36.9751027,-1.4282775,202,261.96541434424176,moves200,London,Nakuru,Kenya,Nairobi,Kayole,Kenya,Male,Doing casual jobs,3,-3,Yes,Luo,Luo,No,-3,-3,,,POINT (36.97510269982985 -1.428277499806654),-1.4282775,36.9751027,Kin,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"('Pinyindo', 'Gambella', 'Ethiopia')",POINT (34.58773440042228 8.250365600292298),Education,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,276814,276814.02,"('Lolgorien', 'Narok', 'Kenya')",234.1080594723724,3.1271171096686032,34.807252000000005,-1.228958,206,261.96541434424176,moves200,Lolgorien,Narok,Kenya,Nairobi,Kayole,Kenya,Male,Doing casual jobs,3,-3,Yes,Luo,Luo,No,-3,-3,,,POINT (34.80725200057941 -1.228958000111504),-1.228958,34.807252000000005,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"('Youville', 'Johannesburg', 'South Africa')",POINT (28.04972200047001 -26.20500000004989),Work,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12,276814,276814.06,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,9,261.96541434424176,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya,Male,Doing casual jobs,3,-3,Yes,Luo,Luo,No,-3,-3,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,"('Ongata Rongai', 'Nairobi', 'Kenya')",POINT (36.75201060030906 -1.395968000023117),,71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
14,276822,276822.01,"('Kedowa', 'Kericho', 'Kenya')",177.83234043515097,2.5870145695671662,35.55,-0.2333,202,261.96541434424176,moves200,Kedowa,Kericho,Kenya,Nairobi,Kayole,Kenya,Female,Working part-time (formal/informal sector),1,-3,Yes,Luo,Dholuo,No,Yes,No,,,POINT (35.55000000099938 -0.2332999999949834),-0.2333,35.55,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"('Klerksdorp', 'Klerksdorp', 'South Africa')",POINT (26.66568140017654 -26.86253829960282),Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
